model,score,group,alpha,threshold,n_calib
digits,affinity_entropy,digit,0.01,3.5653936862945557,200
digits,affinity_entropy,digit,0.05,3.2431743144989014,200
digits,affinity_entropy,digit,0.1,3.026028871536255,200
digits,affinity_entropy,gauss,0.01,4.44176721572876,200
digits,affinity_entropy,gauss,0.05,4.373260498046875,200
digits,affinity_entropy,gauss,0.1,4.330292701721191,200
digits,affinity_entropy,shuffle,0.01,4.247122764587402,200
digits,affinity_entropy,shuffle,0.05,4.158151626586914,200
digits,affinity_entropy,shuffle,0.1,4.0990519523620605,200
digits_ood_basin_dual,affinity_entropy,digit,0.01,4.73799991607666,200
digits_ood_basin_dual,affinity_entropy,digit,0.05,4.690465927124023,200
digits_ood_basin_dual,affinity_entropy,digit,0.1,4.654594421386719,200
digits_ood_basin_dual,affinity_entropy,gauss,0.01,4.816168308258057,200
digits_ood_basin_dual,affinity_entropy,gauss,0.05,4.80723237991333,200
digits_ood_basin_dual,affinity_entropy,gauss,0.1,4.802796363830566,200
digits_ood_basin_dual,affinity_entropy,shuffle,0.01,4.788126468658447,200
digits_ood_basin_dual,affinity_entropy,shuffle,0.05,4.779606819152832,200
digits_ood_basin_dual,affinity_entropy,shuffle,0.1,4.774352550506592,200
